time,DO,WT,pH,Tur,Cond,COD,NH,TP,TN,CHLa
2022/11/1,15.3,26.47,12.23,104.86,616.53,4.85,0.14,0.11,0.87,18.19
2022/11/2,15.46,26.52,12.28,106.73,617.12,4.85,0.12,0.11,0.95,20.34
2022/11/3,15.43,26.4,12.29,95.8,619.53,4.97,0.12,0.11,0.88,20.71
2022/11/4,15.07,25.48,12.23,107.62,616.19,4.83,0.12,0.11,0.61,16.94
2022/11/5,15.05,24.34,12.23,102.53,612.71,4.86,0.15,0.12,0.47,15.77
2022/11/6,15.25,23.67,12.23,107.21,614.62,4.96,0.14,0.11,0.61,17.05
2022/11/7,15.28,24.32,12.2,119.5,607.22,4.82,0.17,0.14,1.01,16.07
2022/11/8,15.95,25.3,12.28,104.43,605.81,4.59,0.15,0.12,1.04,17.93
2022/11/9,16,25.36,12.29,103,608.11,4.5,0.14,0.12,0.99,20.92
2022/11/10,16,26.21,12.31,97.43,610.93,4.41,0.12,0.11,1.02,20.16
2022/11/11,15.94,26.99,12.44,75.98,607.07,4.5,0.11,0.09,1.07,25.71
2022/11/12,15.2,27.54,12.31,106.72,606.86,4.53,0.11,0.11,1.19,22.6
2022/11/13,14.62,25.91,12.02,172.39,610.58,4.97,0.24,0.15,0.53,16.82
2022/11/14,14.87,23.74,12.15,106.8,618.94,4.64,0.18,0.11,0.43,24.74
2022/11/15,15.28,22.55,12.26,94.69,612.06,4.39,0.15,0.09,0.56,23.93
2022/11/16,15.36,21.55,12.14,112.41,611.81,4.38,0.2,0.11,0.59,18.32
2022/11/17,15.65,21.06,12.11,109.54,609.62,4.29,0.2,0.11,0.9,21.99
2022/11/18,15.34,21.32,12.09,105.03,609.56,4.21,0.21,0.11,0.56,23.81
2022/11/19,15.1,21.53,11.97,118.22,607.7,4.27,0.24,0.11,0.58,17.2
2022/11/20,15.25,22.6,12.02,115.6,607.1,4.38,0.26,0.11,0.78,16.1
2022/11/21,15.84,22.28,12.11,96.47,606.72,4.21,0.18,0.11,0.84,19.75
2022/11/22,15.97,22.62,12.12,81.66,601.06,4.24,0.12,0.09,0.72,20.88
2022/11/23,15.66,22.69,12.12,82.37,603.75,4.1,0.14,0.09,0.72,21.84
2022/11/24,15.56,23.24,12.11,88.86,603.98,4.01,0.2,0.09,0.82,16.5
2022/11/25,15.66,22.72,12.11,103.87,603.37,4.91,0.2,0.11,1.3,16.12
2022/11/26,15.77,22.22,12.11,118.87,602.74,5.81,0.2,0.11,1.78,15.74
2022/11/27,15.88,21.7,12.11,133.88,602.13,6.71,0.2,0.11,2.27,15.37
2022/11/28,15.98,21.2,12.09,148.89,601.51,7.63,0.2,0.12,2.76,14.99
2022/11/29,15.98,21.2,12.09,148.89,601.51,7.63,0.2,0.12,2.76,14.99
2022/11/30,16.44,18.51,12.14,126.09,601.81,7.79,0.21,0.12,2.99,15.28
2022/12/1,17.26,15.13,12.18,106.2,601.95,4.71,0.21,0.11,2.18,14.44
2022/12/2,17.84,13.86,12.22,99.66,605.97,4.39,0.2,0.11,1.74,13.13
2022/12/3,17.92,13.48,12.18,100.5,606.28,2.62,0.2,0.11,1.63,12.37
2022/12/4,17.71,13.05,12.03,86.85,654.85,2.27,0.26,0.09,2.55,12.54
2022/12/5,18.33,12.34,12.15,92.86,608.95,1.97,0.2,0.11,2.3,10.02
2022/12/6,18.33,12.25,12.15,86.13,633.76,1.8,0.21,0.11,1.77,9.62
2022/12/7,17.89,12.46,12.06,73.41,715.27,2.44,0.32,0.09,2.36,11.13
2022/12/8,16.3,14.32,11.9,50.04,843.75,4.07,0.34,0.08,2.79,7.79
2022/12/9,17.64,13.15,12.03,70.27,691.15,4.13,0.26,0.09,1.81,11.25
